"","Name","Type","Magnitude","Distance","Constellation","RA","DEC","Other.Names","dec_n","ra_n","script","gaB","gaL","scriptGal"
"3709","NGC 3709","Nebula","–","","Leo","11h30m","-03°15'","",-2.75,172.5,"planetarium.addPointer({
    'ra':  172.5 ,
    'dec':  -2.75 ,
    'label': ' NGC 3709 ',
    'colour': ' rgb(0,153,0) '});",-1.10897447563267,0.652911582151663,"planetarium.addPointer({
    'ra':  172.5 ,
    'dec':  -2.75 ,
    'label': ' NGC 3709 ',
    'colour': ' rgb(0,153,0) '});"
"4280","NGC 4280","Nebula","–","","Virgo","12h20m","-11°39'","",-10.35,185,"planetarium.addPointer({
    'ra':  185 ,
    'dec':  -10.35 ,
    'label': ' NGC 4280 ',
    'colour': ' rgb(0,153,0) '});",-0.0828602429270382,1.81631564818756,"planetarium.addPointer({
    'ra':  185 ,
    'dec':  -10.35 ,
    'label': ' NGC 4280 ',
    'colour': ' rgb(0,153,0) '});"
"4317","NGC 4317","Nebula","–","","Coma Berenices","12h22m","+31°02'","",31.0333333333333,185.5,"planetarium.addPointer({
    'ra':  185.5 ,
    'dec':  31.0333333333333 ,
    'label': ' NGC 4317 ',
    'colour': ' rgb(0,153,0) '});",0.707492484170975,2.06420943537674,"planetarium.addPointer({
    'ra':  185.5 ,
    'dec':  31.0333333333333 ,
    'label': ' NGC 4317 ',
    'colour': ' rgb(0,153,0) '});"
"4397","NGC 4397","Nebula","–","","Coma Berenices","12h25m","+18°18'","",18.3,186.25,"planetarium.addPointer({
    'ra':  186.25 ,
    'dec':  18.3 ,
    'label': ' NGC 4397 ',
    'colour': ' rgb(0,153,0) '});",0.354650985712467,-0.384018609079901,"planetarium.addPointer({
    'ra':  186.25 ,
    'dec':  18.3 ,
    'label': ' NGC 4397 ',
    'colour': ' rgb(0,153,0) '});"
"4399","NGC 4399","Nebula","–","","Canes Venatici","12h25m","+33°30'","",33.5,186.25,"planetarium.addPointer({
    'ra':  186.25 ,
    'dec':  33.5 ,
    'label': ' NGC 4399 ',
    'colour': ' rgb(0,153,0) '});",0.0625702524297187,-0.679206761439848,"planetarium.addPointer({
    'ra':  186.25 ,
    'dec':  33.5 ,
    'label': ' NGC 4399 ',
    'colour': ' rgb(0,153,0) '});"
"4400","NGC 4400","Nebula","–","","Canes Venatici","12h25m","+33°30'","",33.5,186.25,"planetarium.addPointer({
    'ra':  186.25 ,
    'dec':  33.5 ,
    'label': ' NGC 4400 ',
    'colour': ' rgb(0,153,0) '});",0.0625702524297187,-0.679206761439848,"planetarium.addPointer({
    'ra':  186.25 ,
    'dec':  33.5 ,
    'label': ' NGC 4400 ',
    'colour': ' rgb(0,153,0) '});"
"4401","NGC 4401","Nebula","–","","Canes Venatici","12h25m","+33°31'","",33.5166666666667,186.25,"planetarium.addPointer({
    'ra':  186.25 ,
    'dec':  33.5166666666667 ,
    'label': ' NGC 4401 ',
    'colour': ' rgb(0,153,0) '});",0.0487695250099829,-0.669847793806236,"planetarium.addPointer({
    'ra':  186.25 ,
    'dec':  33.5166666666667 ,
    'label': ' NGC 4401 ',
    'colour': ' rgb(0,153,0) '});"
"4557","NGC 4557","Nebula","–","","Coma Berenices","12h35m","+27°03'","",27.05,188.75,"planetarium.addPointer({
    'ra':  188.75 ,
    'dec':  27.05 ,
    'label': ' NGC 4557 ',
    'colour': ' rgb(0,153,0) '});",0.82431615843437,2.12664706254646,"planetarium.addPointer({
    'ra':  188.75 ,
    'dec':  27.05 ,
    'label': ' NGC 4557 ',
    'colour': ' rgb(0,153,0) '});"
"4982","NGC 4982","Nebula","–","","Virgo","13h08m","-10°35'","",-9.41666666666667,197,"planetarium.addPointer({
    'ra':  197 ,
    'dec':  -9.41666666666667 ,
    'label': ' NGC 4982 ',
    'colour': ' rgb(0,153,0) '});",-0.388918696213165,0.780121411200524,"planetarium.addPointer({
    'ra':  197 ,
    'dec':  -9.41666666666667 ,
    'label': ' NGC 4982 ',
    'colour': ' rgb(0,153,0) '});"
"5242","NGC 5242","Nebula","–","","Virgo","13h37m","+02°46'","",2.76666666666667,204.25,"planetarium.addPointer({
    'ra':  204.25 ,
    'dec':  2.76666666666667 ,
    'label': ' NGC 5242 ',
    'colour': ' rgb(0,153,0) '});",-0.702434782478744,1.9425003400237,"planetarium.addPointer({
    'ra':  204.25 ,
    'dec':  2.76666666666667 ,
    'label': ' NGC 5242 ',
    'colour': ' rgb(0,153,0) '});"
"5388","NGC 5388","Nebula","–","","Virgo","13h58m","-14°09'","",-13.85,209.5,"planetarium.addPointer({
    'ra':  209.5 ,
    'dec':  -13.85 ,
    'label': ' NGC 5388 ',
    'colour': ' rgb(0,153,0) '});",-0.357950540480311,1.86118232685814,"planetarium.addPointer({
    'ra':  209.5 ,
    'dec':  -13.85 ,
    'label': ' NGC 5388 ',
    'colour': ' rgb(0,153,0) '});"
"5432","NGC 5432","Nebula","–","","Virgo","14h03m","-05°58'","",-4.03333333333333,210.75,"planetarium.addPointer({
    'ra':  210.75 ,
    'dec':  -4.03333333333333 ,
    'label': ' NGC 5432 ',
    'colour': ' rgb(0,153,0) '});",-0.200138668973561,-0.962920574566474,"planetarium.addPointer({
    'ra':  210.75 ,
    'dec':  -4.03333333333333 ,
    'label': ' NGC 5432 ',
    'colour': ' rgb(0,153,0) '});"
"5449","NGC 5449","Nebula","–","","Ursa Major","14h02m","+54°19'","",54.3166666666667,210.5,"planetarium.addPointer({
    'ra':  210.5 ,
    'dec':  54.3166666666667 ,
    'label': ' NGC 5449 ',
    'colour': ' rgb(0,153,0) '});",-1.11400101493962,-0.713659851353129,"planetarium.addPointer({
    'ra':  210.5 ,
    'dec':  54.3166666666667 ,
    'label': ' NGC 5449 ',
    'colour': ' rgb(0,153,0) '});"
"5571","NGC 5571","Nebula","–","","Bootes","14h19m","+35°09'","",35.15,214.75,"planetarium.addPointer({
    'ra':  214.75 ,
    'dec':  35.15 ,
    'label': ' NGC 5571 ',
    'colour': ' rgb(0,153,0) '});",0.197539245815051,-0.264674655464904,"planetarium.addPointer({
    'ra':  214.75 ,
    'dec':  35.15 ,
    'label': ' NGC 5571 ',
    'colour': ' rgb(0,153,0) '});"
"5586","NGC 5586","Nebula","–","","Bootes","14h22m","+13°11'","",13.1833333333333,215.5,"planetarium.addPointer({
    'ra':  215.5 ,
    'dec':  13.1833333333333 ,
    'label': ' NGC 5586 ',
    'colour': ' rgb(0,153,0) '});",0.335505365284867,0.0416751081431493,"planetarium.addPointer({
    'ra':  215.5 ,
    'dec':  13.1833333333333 ,
    'label': ' NGC 5586 ',
    'colour': ' rgb(0,153,0) '});"
"5621","NGC 5621","Nebula","–","","Bootes","14h27m","+08°14'","",8.23333333333333,216.75,"planetarium.addPointer({
    'ra':  216.75 ,
    'dec':  8.23333333333333 ,
    'label': ' NGC 5621 ',
    'colour': ' rgb(0,153,0) '});",0.107853630172125,2.06059958502904,"planetarium.addPointer({
    'ra':  216.75 ,
    'dec':  8.23333333333333 ,
    'label': ' NGC 5621 ',
    'colour': ' rgb(0,153,0) '});"
"5665","NGC 5665","Nebula","12.0","19500.0","Bootes","14h32m","+08°04'","Arp 49",8.06666666666667,218,"planetarium.addPointer({
    'ra':  218 ,
    'dec':  8.06666666666667 ,
    'label': ' NGC 5665 ',
    'colour': ' rgb(0,153,0) '});",0.358809455531222,-0.801771082367888,"planetarium.addPointer({
    'ra':  218 ,
    'dec':  8.06666666666667 ,
    'label': ' NGC 5665 ',
    'colour': ' rgb(0,153,0) '});"
"5840","NGC 5840","Nebula","–","","Bootes","15h04m","+29°30'","",29.5,226,"planetarium.addPointer({
    'ra':  226 ,
    'dec':  29.5 ,
    'label': ' NGC 5840 ',
    'colour': ' rgb(0,153,0) '});",-0.158066561237864,2.01046093845015,"planetarium.addPointer({
    'ra':  226 ,
    'dec':  29.5 ,
    'label': ' NGC 5840 ',
    'colour': ' rgb(0,153,0) '});"
"6082","NGC 6082","Nebula","–","","Scorpius","16h15m","-34°13'","",-33.7833333333333,243.75,"planetarium.addPointer({
    'ra':  243.75 ,
    'dec':  -33.7833333333333 ,
    'label': ' NGC 6082 ',
    'colour': ' rgb(0,153,0) '});",-0.285799630675175,1.30829898897835,"planetarium.addPointer({
    'ra':  243.75 ,
    'dec':  -33.7833333333333 ,
    'label': ' NGC 6082 ',
    'colour': ' rgb(0,153,0) '});"
"6133","NGC 6133","Nebula","–","","Draco","16h20m","+56°39'","",56.65,245,"planetarium.addPointer({
    'ra':  245 ,
    'dec':  56.65 ,
    'label': ' NGC 6133 ',
    'colour': ' rgb(0,153,0) '});",-0.939845656735418,1.70208734068808,"planetarium.addPointer({
    'ra':  245 ,
    'dec':  56.65 ,
    'label': ' NGC 6133 ',
    'colour': ' rgb(0,153,0) '});"
"6151","NGC 6151","Nebula","–","","Apus","16h38m","-73°15'","",-72.75,249.5,"planetarium.addPointer({
    'ra':  249.5 ,
    'dec':  -72.75 ,
    'label': ' NGC 6151 ',
    'colour': ' rgb(0,153,0) '});",-0.136898760312973,-0.0797483156991793,"planetarium.addPointer({
    'ra':  249.5 ,
    'dec':  -72.75 ,
    'label': ' NGC 6151 ',
    'colour': ' rgb(0,153,0) '});"
"6164","NGC 6164","Nebula","6.7","","Norma","16h33m","-48°04'","",-47.9333333333333,248.25,"planetarium.addPointer({
    'ra':  248.25 ,
    'dec':  -47.9333333333333 ,
    'label': ' NGC 6164 ',
    'colour': ' rgb(0,153,0) '});",-0.276012764825393,2.0398741634162,"planetarium.addPointer({
    'ra':  248.25 ,
    'dec':  -47.9333333333333 ,
    'label': ' NGC 6164 ',
    'colour': ' rgb(0,153,0) '});"
"6165","NGC 6165","Nebula","6.7","","Norma","16h34m","-48°09'","",-47.85,248.5,"planetarium.addPointer({
    'ra':  248.5 ,
    'dec':  -47.85 ,
    'label': ' NGC 6165 ',
    'colour': ' rgb(0,153,0) '});",-0.362888900917498,-0.914389646098783,"planetarium.addPointer({
    'ra':  248.5 ,
    'dec':  -47.85 ,
    'label': ' NGC 6165 ',
    'colour': ' rgb(0,153,0) '});"
"6188","NGC 6188","Nebula","–","","Ara","16h40m","-48°39'","",-47.35,250,"planetarium.addPointer({
    'ra':  250 ,
    'dec':  -47.35 ,
    'label': ' NGC 6188 ',
    'colour': ' rgb(0,153,0) '});",0.129120402913671,0.387722172131066,"planetarium.addPointer({
    'ra':  250 ,
    'dec':  -47.35 ,
    'label': ' NGC 6188 ',
    'colour': ' rgb(0,153,0) '});"
"6237","NGC 6237","Nebula","–","","Draco","16h44m","+70°38'","",70.6333333333333,251,"planetarium.addPointer({
    'ra':  251 ,
    'dec':  70.6333333333333 ,
    'label': ' NGC 6237 ',
    'colour': ' rgb(0,153,0) '});",0.43304225542071,2.1171755942285,"planetarium.addPointer({
    'ra':  251 ,
    'dec':  70.6333333333333 ,
    'label': ' NGC 6237 ',
    'colour': ' rgb(0,153,0) '});"
"6245","NGC 6245","Nebula","–","","Draco","16h45m","+70°48'","",70.8,251.25,"planetarium.addPointer({
    'ra':  251.25 ,
    'dec':  70.8 ,
    'label': ' NGC 6245 ',
    'colour': ' rgb(0,153,0) '});",0.587261510339438,-0.955327913232494,"planetarium.addPointer({
    'ra':  251.25 ,
    'dec':  70.8 ,
    'label': ' NGC 6245 ',
    'colour': ' rgb(0,153,0) '});"
"6353","NGC 6353","Nebula","–","","Hercules","17h21m","+15°41'","",15.6833333333333,260.25,"planetarium.addPointer({
    'ra':  260.25 ,
    'dec':  15.6833333333333 ,
    'label': ' NGC 6353 ',
    'colour': ' rgb(0,153,0) '});",-0.718516030579956,1.08839419735435,"planetarium.addPointer({
    'ra':  260.25 ,
    'dec':  15.6833333333333 ,
    'label': ' NGC 6353 ',
    'colour': ' rgb(0,153,0) '});"
"6354","NGC 6354","Nebula","–","","Scorpius","17h24m","-38°32'","",-37.4666666666667,261,"planetarium.addPointer({
    'ra':  261 ,
    'dec':  -37.4666666666667 ,
    'label': ' NGC 6354 ',
    'colour': ' rgb(0,153,0) '});",1.3229765089073,-0.8593312795238,"planetarium.addPointer({
    'ra':  261 ,
    'dec':  -37.4666666666667 ,
    'label': ' NGC 6354 ',
    'colour': ' rgb(0,153,0) '});"
"6357","NGC 6357","Nebula","–","","Scorpius","17h24m","-34°12'","Lobster Nebula, War and Peace Nebula",-33.8,261,"planetarium.addPointer({
    'ra':  261 ,
    'dec':  -33.8 ,
    'label': ' NGC 6357 ',
    'colour': ' rgb(0,153,0) '});",-1.29014782351743,2.05765943483047,"planetarium.addPointer({
    'ra':  261 ,
    'dec':  -33.8 ,
    'label': ' NGC 6357 ',
    'colour': ' rgb(0,153,0) '});"
"6413","NGC 6413","Nebula","–","","Ophiuchus","17h40m","+12°37'","",12.6166666666667,265,"planetarium.addPointer({
    'ra':  265 ,
    'dec':  12.6166666666667 ,
    'label': ' NGC 6413 ',
    'colour': ' rgb(0,153,0) '});",-0.562489044225425,0.171491809939178,"planetarium.addPointer({
    'ra':  265 ,
    'dec':  12.6166666666667 ,
    'label': ' NGC 6413 ',
    'colour': ' rgb(0,153,0) '});"
"6432","NGC 6432","Nebula","–","","Sagittarius","17h47m","-24°53'","",-23.1166666666667,266.75,"planetarium.addPointer({
    'ra':  266.75 ,
    'dec':  -23.1166666666667 ,
    'label': ' NGC 6432 ',
    'colour': ' rgb(0,153,0) '});",0.079681123659004,1.93862190838929,"planetarium.addPointer({
    'ra':  266.75 ,
    'dec':  -23.1166666666667 ,
    'label': ' NGC 6432 ',
    'colour': ' rgb(0,153,0) '});"
"6448","NGC 6448","Nebula","–","","Draco","17h43m","+53°32'","",53.5333333333333,265.75,"planetarium.addPointer({
    'ra':  265.75 ,
    'dec':  53.5333333333333 ,
    'label': ' NGC 6448 ',
    'colour': ' rgb(0,153,0) '});",-0.12127026787583,0.496369865855539,"planetarium.addPointer({
    'ra':  265.75 ,
    'dec':  53.5333333333333 ,
    'label': ' NGC 6448 ',
    'colour': ' rgb(0,153,0) '});"
"6450","NGC 6450","Nebula","–","","Hercules","17h47m","+18°34'","",18.5666666666667,266.75,"planetarium.addPointer({
    'ra':  266.75 ,
    'dec':  18.5666666666667 ,
    'label': ' NGC 6450 ',
    'colour': ' rgb(0,153,0) '});",0.66879687447006,1.52097619976298,"planetarium.addPointer({
    'ra':  266.75 ,
    'dec':  18.5666666666667 ,
    'label': ' NGC 6450 ',
    'colour': ' rgb(0,153,0) '});"
"6465","NGC 6465","Nebula","–","","Sagittarius","17h52m","-25°23'","",-24.6166666666667,268,"planetarium.addPointer({
    'ra':  268 ,
    'dec':  -24.6166666666667 ,
    'label': ' NGC 6465 ',
    'colour': ' rgb(0,153,0) '});",0.913527952152197,0.816570805133775,"planetarium.addPointer({
    'ra':  268 ,
    'dec':  -24.6166666666667 ,
    'label': ' NGC 6465 ',
    'colour': ' rgb(0,153,0) '});"
"6523","NGC 6523","Nebula","5.8","1.6","Sagittarius","18h03m","-24°22'","Lagoon Nebula, Hourglass Nebula, M 8",-23.6333333333333,270.75,"planetarium.addPointer({
    'ra':  270.75 ,
    'dec':  -23.6333333333333 ,
    'label': ' NGC 6523 ',
    'colour': ' rgb(0,153,0) '});",0.411237552732915,-0.967268571832074,"planetarium.addPointer({
    'ra':  270.75 ,
    'dec':  -23.6333333333333 ,
    'label': ' NGC 6523 ',
    'colour': ' rgb(0,153,0) '});"
"6526","NGC 6526","Nebula","–","","Sagittarius","18h04m","-24°26'","",-23.5666666666667,271,"planetarium.addPointer({
    'ra':  271 ,
    'dec':  -23.5666666666667 ,
    'label': ' NGC 6526 ',
    'colour': ' rgb(0,153,0) '});",0.474346173567681,-0.991590935811835,"planetarium.addPointer({
    'ra':  271 ,
    'dec':  -23.5666666666667 ,
    'label': ' NGC 6526 ',
    'colour': ' rgb(0,153,0) '});"
"6551","NGC 6551","Nebula","–","","Sagittarius","18h08m","-29°33'","",-28.45,272,"planetarium.addPointer({
    'ra':  272 ,
    'dec':  -28.45 ,
    'label': ' NGC 6551 ',
    'colour': ' rgb(0,153,0) '});",0.0468558345294298,0.749797200173212,"planetarium.addPointer({
    'ra':  272 ,
    'dec':  -28.45 ,
    'label': ' NGC 6551 ',
    'colour': ' rgb(0,153,0) '});"
"6559","NGC 6559","Nebula","–","","Sagittarius","18h09m","-24°06'","",-23.9,272.25,"planetarium.addPointer({
    'ra':  272.25 ,
    'dec':  -23.9 ,
    'label': ' NGC 6559 ',
    'colour': ' rgb(0,153,0) '});",0.544404247619455,-0.613804983849765,"planetarium.addPointer({
    'ra':  272.25 ,
    'dec':  -23.9 ,
    'label': ' NGC 6559 ',
    'colour': ' rgb(0,153,0) '});"
"6564","NGC 6564","Nebula","–","","Hercules","18h09m","+17°23'","",17.3833333333333,272.25,"planetarium.addPointer({
    'ra':  272.25 ,
    'dec':  17.3833333333333 ,
    'label': ' NGC 6564 ',
    'colour': ' rgb(0,153,0) '});",-0.445960939974281,2.03581612998551,"planetarium.addPointer({
    'ra':  272.25 ,
    'dec':  17.3833333333333 ,
    'label': ' NGC 6564 ',
    'colour': ' rgb(0,153,0) '});"
"6588","NGC 6588","Nebula","–","","Pavo","18h20m","-63°48'","",-62.2,275,"planetarium.addPointer({
    'ra':  275 ,
    'dec':  -62.2 ,
    'label': ' NGC 6588 ',
    'colour': ' rgb(0,153,0) '});",0.352863914994407,1.12074795238475,"planetarium.addPointer({
    'ra':  275 ,
    'dec':  -62.2 ,
    'label': ' NGC 6588 ',
    'colour': ' rgb(0,153,0) '});"
"6589","NGC 6589","Nebula","10.5","","Sagittarius","18h16m","-19°46'","",-18.2333333333333,274,"planetarium.addPointer({
    'ra':  274 ,
    'dec':  -18.2333333333333 ,
    'label': ' NGC 6589 ',
    'colour': ' rgb(0,153,0) '});",1.14985800828497,1.02657908691431,"planetarium.addPointer({
    'ra':  274 ,
    'dec':  -18.2333333333333 ,
    'label': ' NGC 6589 ',
    'colour': ' rgb(0,153,0) '});"
"6648","NGC 6648","Nebula","–","","Draco","18h25m","+64°58'","",64.9666666666667,276.25,"planetarium.addPointer({
    'ra':  276.25 ,
    'dec':  64.9666666666667 ,
    'label': ' NGC 6648 ',
    'colour': ' rgb(0,153,0) '});",0.964065762668525,-0.598676809565407,"planetarium.addPointer({
    'ra':  276.25 ,
    'dec':  64.9666666666667 ,
    'label': ' NGC 6648 ',
    'colour': ' rgb(0,153,0) '});"
"6666","NGC 6666","Nebula","–","","Lyra","18h34m","+33°35'","",33.5833333333333,278.5,"planetarium.addPointer({
    'ra':  278.5 ,
    'dec':  33.5833333333333 ,
    'label': ' NGC 6666 ',
    'colour': ' rgb(0,153,0) '});",0.257594950186753,1.54993570971148,"planetarium.addPointer({
    'ra':  278.5 ,
    'dec':  33.5833333333333 ,
    'label': ' NGC 6666 ',
    'colour': ' rgb(0,153,0) '});"
"6669","NGC 6669","Nebula","–","","Hercules","18h37m","+22°11'","",22.1833333333333,279.25,"planetarium.addPointer({
    'ra':  279.25 ,
    'dec':  22.1833333333333 ,
    'label': ' NGC 6669 ',
    'colour': ' rgb(0,153,0) '});",-0.967865727634116,0.958981986019819,"planetarium.addPointer({
    'ra':  279.25 ,
    'dec':  22.1833333333333 ,
    'label': ' NGC 6669 ',
    'colour': ' rgb(0,153,0) '});"
"6729","NGC 6729","Nebula","9.7","","Corona Australis","19h01m","-36°57'","R Corona Australis Nebula, C 68",-35.05,285.25,"planetarium.addPointer({
    'ra':  285.25 ,
    'dec':  -35.05 ,
    'label': ' NGC 6729 ',
    'colour': ' rgb(0,153,0) '});",-0.304132956863079,1.38122428654994,"planetarium.addPointer({
    'ra':  285.25 ,
    'dec':  -35.05 ,
    'label': ' NGC 6729 ',
    'colour': ' rgb(0,153,0) '});"
"6797","NGC 6797","Nebula","–","","Sagittarius","19h29m","-25°39'","",-24.35,292.25,"planetarium.addPointer({
    'ra':  292.25 ,
    'dec':  -24.35 ,
    'label': ' NGC 6797 ',
    'colour': ' rgb(0,153,0) '});",1.24853481368245,-0.69574253044318,"planetarium.addPointer({
    'ra':  292.25 ,
    'dec':  -24.35 ,
    'label': ' NGC 6797 ',
    'colour': ' rgb(0,153,0) '});"
"6820","NGC 6820","Nebula","14.9","","Vulpecula","19h42m","+23°05'","Cr 404",23.0833333333333,295.5,"planetarium.addPointer({
    'ra':  295.5 ,
    'dec':  23.0833333333333 ,
    'label': ' NGC 6820 ',
    'colour': ' rgb(0,153,0) '});",0.000278226865265711,2.13613669675118,"planetarium.addPointer({
    'ra':  295.5 ,
    'dec':  23.0833333333333 ,
    'label': ' NGC 6820 ',
    'colour': ' rgb(0,153,0) '});"
"6839","NGC 6839","Nebula","–","","Sagitta","19h54m","+18°00'","",18,298.5,"planetarium.addPointer({
    'ra':  298.5 ,
    'dec':  18 ,
    'label': ' NGC 6839 ',
    'colour': ' rgb(0,153,0) '});",0.234814782542291,2.03514233528954,"planetarium.addPointer({
    'ra':  298.5 ,
    'dec':  18 ,
    'label': ' NGC 6839 ',
    'colour': ' rgb(0,153,0) '});"
"6847","NGC 6847","Nebula","–","","Cygnus","19h56m","+30°12'","",30.2,299,"planetarium.addPointer({
    'ra':  299 ,
    'dec':  30.2 ,
    'label': ' NGC 6847 ',
    'colour': ' rgb(0,153,0) '});",-0.140639232173797,-0.879029712538257,"planetarium.addPointer({
    'ra':  299 ,
    'dec':  30.2 ,
    'label': ' NGC 6847 ',
    'colour': ' rgb(0,153,0) '});"
"6859","NGC 6859","Nebula","–","","Aquila","20h03m","+00°26'","",0.433333333333333,300.75,"planetarium.addPointer({
    'ra':  300.75 ,
    'dec':  0.433333333333333 ,
    'label': ' NGC 6859 ',
    'colour': ' rgb(0,153,0) '});",-0.204413966922179,1.20781193983335,"planetarium.addPointer({
    'ra':  300.75 ,
    'dec':  0.433333333333333 ,
    'label': ' NGC 6859 ',
    'colour': ' rgb(0,153,0) '});"
"6863","NGC 6863","Nebula","–","","Aquila","20h05m","-03°33'","",-2.45,301.25,"planetarium.addPointer({
    'ra':  301.25 ,
    'dec':  -2.45 ,
    'label': ' NGC 6863 ',
    'colour': ' rgb(0,153,0) '});",0.291166469681453,1.70815560321309,"planetarium.addPointer({
    'ra':  301.25 ,
    'dec':  -2.45 ,
    'label': ' NGC 6863 ',
    'colour': ' rgb(0,153,0) '});"
"6892","NGC 6892","Nebula","–","","Sagitta","20h16m","+18°01'","",18.0166666666667,304,"planetarium.addPointer({
    'ra':  304 ,
    'dec':  18.0166666666667 ,
    'label': ' NGC 6892 ',
    'colour': ' rgb(0,153,0) '});",0.0077600379184366,1.56870826435139,"planetarium.addPointer({
    'ra':  304 ,
    'dec':  18.0166666666667 ,
    'label': ' NGC 6892 ',
    'colour': ' rgb(0,153,0) '});"
"6953","NGC 6953","Nebula","–","","Cepheus","20h37m","+65°45'","",65.75,309.25,"planetarium.addPointer({
    'ra':  309.25 ,
    'dec':  65.75 ,
    'label': ' NGC 6953 ',
    'colour': ' rgb(0,153,0) '});",0.464089712544513,0.595820682762653,"planetarium.addPointer({
    'ra':  309.25 ,
    'dec':  65.75 ,
    'label': ' NGC 6953 ',
    'colour': ' rgb(0,153,0) '});"
"6994","NGC 6994","Nebula","8.9","","Aquarius","20h58m","-12°38'","M 73, Cr 426",-11.3666666666667,314.5,"planetarium.addPointer({
    'ra':  314.5 ,
    'dec':  -11.3666666666667 ,
    'label': ' NGC 6994 ',
    'colour': ' rgb(0,153,0) '});",0.109733361645124,-0.948427772899722,"planetarium.addPointer({
    'ra':  314.5 ,
    'dec':  -11.3666666666667 ,
    'label': ' NGC 6994 ',
    'colour': ' rgb(0,153,0) '});"
"6997","NGC 6997","Nebula","10.0","","Cygnus","20h56m","+44°37'","",44.6166666666667,314,"planetarium.addPointer({
    'ra':  314 ,
    'dec':  44.6166666666667 ,
    'label': ' NGC 6997 ',
    'colour': ' rgb(0,153,0) '});",-0.404057087619392,1.82200090615527,"planetarium.addPointer({
    'ra':  314 ,
    'dec':  44.6166666666667 ,
    'label': ' NGC 6997 ',
    'colour': ' rgb(0,153,0) '});"
"7005","NGC 7005","Nebula","–","","Aquarius","21h01m","-12°52'","",-11.1333333333333,315.25,"planetarium.addPointer({
    'ra':  315.25 ,
    'dec':  -11.1333333333333 ,
    'label': ' NGC 7005 ',
    'colour': ' rgb(0,153,0) '});",0.387496632784711,-0.880353773807832,"planetarium.addPointer({
    'ra':  315.25 ,
    'dec':  -11.1333333333333 ,
    'label': ' NGC 7005 ',
    'colour': ' rgb(0,153,0) '});"
"7023","NGC 7023","Nebula","6.8","","Cepheus","21h01m","+68°10'","Iris Nebula, C 4, Cr 429",68.1666666666667,315.25,"planetarium.addPointer({
    'ra':  315.25 ,
    'dec':  68.1666666666667 ,
    'label': ' NGC 7023 ',
    'colour': ' rgb(0,153,0) '});",-0.782297305353328,1.46296216694293,"planetarium.addPointer({
    'ra':  315.25 ,
    'dec':  68.1666666666667 ,
    'label': ' NGC 7023 ',
    'colour': ' rgb(0,153,0) '});"
"7088","NGC 7088","Nebula","–","","Aquarius","21h33m","-00°22'","Baxendall's Nebula",0.366666666666667,323.25,"planetarium.addPointer({
    'ra':  323.25 ,
    'dec':  0.366666666666667 ,
    'label': ' NGC 7088 ',
    'colour': ' rgb(0,153,0) '});",1.06027127466158,0.675481687812008,"planetarium.addPointer({
    'ra':  323.25 ,
    'dec':  0.366666666666667 ,
    'label': ' NGC 7088 ',
    'colour': ' rgb(0,153,0) '});"
"7129","NGC 7129","Nebula","11.5","","Cepheus","21h42m","+66°06'","Small Cluster Nebula, Cr 441",66.1,325.5,"planetarium.addPointer({
    'ra':  325.5 ,
    'dec':  66.1 ,
    'label': ' NGC 7129 ',
    'colour': ' rgb(0,153,0) '});",0.057302587639812,0.7491643487444,"planetarium.addPointer({
    'ra':  325.5 ,
    'dec':  66.1 ,
    'label': ' NGC 7129 ',
    'colour': ' rgb(0,153,0) '});"
"7133","NGC 7133","Nebula","–","","Cepheus","21h44m","+66°10'","",66.1666666666667,326,"planetarium.addPointer({
    'ra':  326 ,
    'dec':  66.1666666666667 ,
    'label': ' NGC 7133 ',
    'colour': ' rgb(0,153,0) '});",0.439962424950375,1.08030936646348,"planetarium.addPointer({
    'ra':  326 ,
    'dec':  66.1666666666667 ,
    'label': ' NGC 7133 ',
    'colour': ' rgb(0,153,0) '});"
"7134","NGC 7134","Nebula","–","","Capricornus","21h48m","-12°58'","",-11.0333333333333,327,"planetarium.addPointer({
    'ra':  327 ,
    'dec':  -11.0333333333333 ,
    'label': ' NGC 7134 ',
    'colour': ' rgb(0,153,0) '});",0.440529207417428,-0.992102275956362,"planetarium.addPointer({
    'ra':  327 ,
    'dec':  -11.0333333333333 ,
    'label': ' NGC 7134 ',
    'colour': ' rgb(0,153,0) '});"
"7143","NGC 7143","Nebula","–","","Cygnus","21h48m","+29°57'","",29.95,327,"planetarium.addPointer({
    'ra':  327 ,
    'dec':  29.95 ,
    'label': ' NGC 7143 ',
    'colour': ' rgb(0,153,0) '});",-0.582886033523715,2.13937577194345,"planetarium.addPointer({
    'ra':  327 ,
    'dec':  29.95 ,
    'label': ' NGC 7143 ',
    'colour': ' rgb(0,153,0) '});"
"7150","NGC 7150","Nebula","–","","Cygnus","21h50m","+49°45'","",49.75,327.5,"planetarium.addPointer({
    'ra':  327.5 ,
    'dec':  49.75 ,
    'label': ' NGC 7150 ',
    'colour': ' rgb(0,153,0) '});",-1.07815766954734,0.786038899087232,"planetarium.addPointer({
    'ra':  327.5 ,
    'dec':  49.75 ,
    'label': ' NGC 7150 ',
    'colour': ' rgb(0,153,0) '});"
